sha,commit_msg,api_url,html_url,diff_text
a22c346620fbdcbfe3d05717186ed68c3f28a4b9,"[stable-2.14] ansible-test - local change detection without --fork-point (#79734) (#80900)

(cherry picked from commit a5bb4c7deea0561a947702483355a90000f7980b)

Co-authored-by: Felix Fontein <felix@fontein.de>",https://api.github.com/repos/ansible/ansible/commits/a22c346620fbdcbfe3d05717186ed68c3f28a4b9,https://github.com/ansible/ansible/commit/a22c346620fbdcbfe3d05717186ed68c3f28a4b9,"diff --git a/changelogs/fragments/79734-ansible-test-change-detection.yml b/changelogs/fragments/79734-ansible-test-change-detection.yml
new file mode 100644
index 00000000000000..7eb939fd1d2a68
--- /dev/null
+++ b/changelogs/fragments/79734-ansible-test-change-detection.yml
@@ -0,0 +1,2 @@
+bugfixes:
+  - ""ansible-test local change detection - use ``git merge-base <branch> HEAD`` instead of ``git merge-base --fork-point <branch>`` (https://github.com/ansible/ansible/pull/79734).""
diff --git a/test/lib/ansible_test/_internal/git.py b/test/lib/ansible_test/_internal/git.py
index 4685f1d28cf3ec..b6c5c7b49d1197 100644
--- a/test/lib/ansible_test/_internal/git.py
+++ b/test/lib/ansible_test/_internal/git.py
@@ -77,7 +77,7 @@ def get_rev_list(self, commits: t.Optional[list[str]] = None, max_count: t.Optio
 
     def get_branch_fork_point(self, branch: str) -> str:
         """"""Return a reference to the point at which the given branch was forked.""""""
-        cmd = ['merge-base', '--fork-point', branch]
+        cmd = ['merge-base', branch, 'HEAD']
         return self.run_git(cmd).strip()
 
     def is_valid_ref(self, ref: str) -> bool:
"
54921364c4b1653f06c0da52f60dac15c5232ce8,"update version switcher for 2.15 (#80791)

Co-authored-by: Sandra McCann <samccann@redhat.com>",https://api.github.com/repos/ansible/ansible/commits/54921364c4b1653f06c0da52f60dac15c5232ce8,https://github.com/ansible/ansible/commit/54921364c4b1653f06c0da52f60dac15c5232ce8,"diff --git a/docs/docsite/sphinx_conf/core_conf.py b/docs/docsite/sphinx_conf/core_conf.py
index a279c02fed9656..a1ce0ee18c38f3 100644
--- a/docs/docsite/sphinx_conf/core_conf.py
+++ b/docs/docsite/sphinx_conf/core_conf.py
@@ -202,9 +202,9 @@
     'github_root_dir': 'devel/lib/ansible',
     'github_cli_version': 'devel/lib/ansible/cli/',
     'current_version': version,
-    'latest_version': '2.14',
+    'latest_version': '2.15',
     # list specifically out of order to make latest work
-    'available_versions': ('2.14', '2.13', '2.12', 'devel',),
+    'available_versions': ('2.15', '2.14', '2.13', 'devel',),
 }
 
 # Add extra CSS styles to the resulting HTML pages
"
45df7a953443578046bafd30d7d7d15ebaa6bd2c,"[stable-2.14] ansible-test - Fix traceback when mixing sources (#80801) (#80828)

* ansible-test - Fix traceback when mixing sources

* ansible-test - Refactor layout error handling

(cherry picked from commit b16041f1a91bb74b7adbf2ad1f1af25603151cb3)",https://api.github.com/repos/ansible/ansible/commits/45df7a953443578046bafd30d7d7d15ebaa6bd2c,https://github.com/ansible/ansible/commit/45df7a953443578046bafd30d7d7d15ebaa6bd2c,"diff --git a/changelogs/fragments/ansible-test-source-detection.yml b/changelogs/fragments/ansible-test-source-detection.yml
new file mode 100644
index 00000000000000..0fd97380d1f1c1
--- /dev/null
+++ b/changelogs/fragments/ansible-test-source-detection.yml
@@ -0,0 +1,3 @@
+bugfixes:
+  - ansible-test - Fix a traceback that occurs when attempting to test Ansible source using a different ansible-test.
+                   A clear error message is now given when this scenario occurs.
diff --git a/test/lib/ansible_test/_internal/data.py b/test/lib/ansible_test/_internal/data.py
index 379ee7b01142c9..67f7a06ce36b45 100644
--- a/test/lib/ansible_test/_internal/data.py
+++ b/test/lib/ansible_test/_internal/data.py
@@ -10,7 +10,6 @@
     ApplicationError,
     import_plugins,
     is_subdir,
-    is_valid_identifier,
     ANSIBLE_LIB_ROOT,
     ANSIBLE_TEST_ROOT,
     ANSIBLE_SOURCE_ROOT,
@@ -219,12 +218,8 @@ def explain_working_directory(self) -> str:
         elif 'ansible_collections' not in cwd.split(os.path.sep):
             blocks.append('No ""ansible_collections"" parent directory was found.')
 
-        if self.content.collection:
-            if not is_valid_identifier(self.content.collection.namespace):
-                blocks.append(f'The namespace ""{self.content.collection.namespace}"" is an invalid identifier or a reserved keyword.')
-
-            if not is_valid_identifier(self.content.collection.name):
-                blocks.append(f'The name ""{self.content.collection.name}"" is an invalid identifier or a reserved keyword.')
+        if isinstance(self.content.unsupported, list):
+            blocks.extend(self.content.unsupported)
 
         message = '\n'.join(blocks)
 
diff --git a/test/lib/ansible_test/_internal/provider/layout/__init__.py b/test/lib/ansible_test/_internal/provider/layout/__init__.py
index 4eca05cedb9cf8..a0a0609be5f2c7 100644
--- a/test/lib/ansible_test/_internal/provider/layout/__init__.py
+++ b/test/lib/ansible_test/_internal/provider/layout/__init__.py
