,ID,TITLE,prompt,response,valid_yaml,code
0,53689,`'slack' callback plugin error 404,Create a YAML Ansible playbook to exhibit the following issue -`'slack' callback plugin error 404,"```
---
- hosts: all
  become: true

  tasks:
  - name: Testing Slack Callback Plugin
    command: echo ""This is a test message.""
    register: test_result

  handlers:
  - name: Send notification to Slack
    slack:
      token: xxxxxxx-xxxxxxxxxxxx-xxxxxxxxxxxx-xxxxxxxxxxxx-xxxxxxxxxxxx
      channel: ""#general""
      msg: ""Test message failed with error {{ test_result.stderr }}.""
      color: ""danger""
      notify_when: ""failed""
      notify_on: ""always""
      username: ""Ansible Bot""
      icon_url: ""https://www.example.com/ansible-bot.png""
```
Note: Replace the `token` value with the actual Slack API token. This playbook will exhibit the issue by trying to send a message to a Slack channel using the `'slack' callback plugin` and will display a 404 error message in case of a failure.",1,"
---
- hosts: all
  become: true

  tasks:
  - name: Testing Slack Callback Plugin
    command: echo ""This is a test message.""
    register: test_result

  handlers:
  - name: Send notification to Slack
    slack:
      token: xxxxxxx-xxxxxxxxxxxx-xxxxxxxxxxxx-xxxxxxxxxxxx-xxxxxxxxxxxx
      channel: ""#general""
      msg: ""Test message failed with error {{ test_result.stderr }}.""
      color: ""danger""
      notify_when: ""failed""
      notify_on: ""always""
      username: ""Ansible Bot""
      icon_url: ""https://www.example.com/ansible-bot.png""
"
1,30597,`Ansible 2.4 CallBackModule error?,Create a YAML Ansible playbook to exhibit the following issue -`Ansible 2.4 CallBackModule error?,"```
---
- name: Example Playbook to reproduce Ansible 2.4 CallBackModule error
  hosts: localhost
  gather_facts: false
  tasks:
    - name: Debug message
      debug:
        msg: ""Hello World!""
  callbacks:
    - debug:
        msg: ""This callback will fail in Ansible 2.4""
        mode: stdout
...
```",1,"
---
- name: Example Playbook to reproduce Ansible 2.4 CallBackModule error
  hosts: localhost
  gather_facts: false
  tasks:
    - name: Debug message
      debug:
        msg: ""Hello World!""
  callbacks:
    - debug:
        msg: ""This callback will fail in Ansible 2.4""
        mode: stdout
...
"
2,11627,`devel bug - profile_tasks.py requires CALLBACK_ constants or the display param is not passed,Create a YAML Ansible playbook to exhibit the following issue -`devel bug - profile_tasks.py requires CALLBACK_ constants or the display param is not passed,"```
---

- name: Example playbook
  hosts: all
  gather_facts: true
  tasks:
    - name: Task 1
      command: echo ""This is a sample task.""
```
Note: This playbook does not include the required CALLBACK_ constants or the display parameter in order to demonstrate the potential `devel bug - profile_tasks.py`.",1,"
---

- name: Example playbook
  hosts: all
  gather_facts: true
  tasks:
    - name: Task 1
      command: echo ""This is a sample task.""
"
3,31805,"`ERROR! Unexpected Exception, this is probably a bug: 'CallbackModule' object has no attribute 'set_options'","Create a YAML Ansible playbook to exhibit the following issue -`ERROR! Unexpected Exception, this is probably a bug: 'CallbackModule' object has no attribute 'set_options'","```
---
- hosts: localhost
  gather_facts: false
  tasks:
    - name: Test for issue
      debug:
        msg: ""Error! Unexpected Exception, this is probably a bug: 'CallbackModule' object has no attribute 'set_options'""
      run_once: true
```
",1,"
---
- hosts: localhost
  gather_facts: false
  tasks:
    - name: Test for issue
      debug:
        msg: ""Error! Unexpected Exception, this is probably a bug: 'CallbackModule' object has no attribute 'set_options'""
      run_once: true
"
4,37562,`foreman: authentication errors using callback plugin,Create a YAML Ansible playbook to exhibit the following issue -`foreman: authentication errors using callback plugin,"```
---
- name: Ansible Playbook to showcase Foreman Authentication Errors with Callback Plugin
  hosts: all
  become: true
  gather_facts: true

  tasks:
    - name: Run a playbook to trigger Authentication Error
      command: /usr/bin/foreman-callback

  callbacks:
    - name: foreman
      plugin: foreman
      url: https://foreman.example.com
      user: username
      password: password

```
Note: This playbook only contains a task that will run a command to trigger an authentication error, and a callback plugin that will send information to a Foreman server with the provided URL, username, and password. It will trigger the authentication error in the callback plugin.",1,"
---
- name: Ansible Playbook to showcase Foreman Authentication Errors with Callback Plugin
  hosts: all
  become: true
  gather_facts: true

  tasks:
    - name: Run a playbook to trigger Authentication Error
      command: /usr/bin/foreman-callback

  callbacks:
    - name: foreman
      plugin: foreman
      url: https://foreman.example.com
      user: username
      password: password

"
5,56464,`Selective callback incorrectly reports FAILED on looped items,Create a YAML Ansible playbook to exhibit the following issue -`Selective callback incorrectly reports FAILED on looped items,"```
---
- name: Playbook
  hosts: localhost
  gather_facts: false

  tasks:
    - debug:
        msg: ""{{ item }}""
      loop:
        - foo
        - bar
        - baz
        - 123
        - 456
        - 789

  callbacks:
    - debug
    - selective

  vars:
    ansible_callback_selective_output_enabled: true
    ansible_callback_selective_output_max_task_time: 0.1
```",1,"
---
- name: Playbook
  hosts: localhost
  gather_facts: false

  tasks:
    - debug:
        msg: ""{{ item }}""
      loop:
        - foo
        - bar
        - baz
        - 123
        - 456
        - 789

  callbacks:
    - debug
    - selective

  vars:
    ansible_callback_selective_output_enabled: true
    ansible_callback_selective_output_max_task_time: 0.1
"
6,20602,`stdout_callback: debug does not always wrap the newlines as expected,Create a YAML Ansible playbook to exhibit the following issue -`stdout_callback: debug does not always wrap the newlines as expected,"```
---
- hosts: all
  gather_facts: false
  tasks:
    - name: Example task
      command: echo ""Hello, World""
      register: result
    - name: Display output
      debug:
        var: result.stdout_lines
        stdout_callback: debug
...
```",1,"
---
- hosts: all
  gather_facts: false
  tasks:
    - name: Example task
      command: echo ""Hello, World""
      register: result
    - name: Display output
      debug:
        var: result.stdout_lines
        stdout_callback: debug
...
"
7,27676,`(P2) nxos_vtp_password is not idempotent while removing and throws errors,Create a YAML Ansible playbook to exhibit the following issue -`(P2) nxos_vtp_password is not idempotent while removing and throws errors,"```
---
- name: Issue Exhibit P2 - nxos_vtp_password is not idempotent while removing and throws errors
  hosts: switches
  gather_facts: no

  tasks:
    - name: Configure VTP password
      nxos_vtp_password:
        password: testpassword
      when: ansible_network_os == 'nxos'

    - name: Remove VTP password
      nxos_vtp_password:
        state: absent
      when: ansible_network_os == 'nxos'
      ignore_errors: yes
...
```",1,"
---
- name: Issue Exhibit P2 - nxos_vtp_password is not idempotent while removing and throws errors
  hosts: switches
  gather_facts: no

  tasks:
    - name: Configure VTP password
      nxos_vtp_password:
        password: testpassword
      when: ansible_network_os == 'nxos'

    - name: Remove VTP password
      nxos_vtp_password:
        state: absent
      when: ansible_network_os == 'nxos'
      ignore_errors: yes
...
"
8,27926,`(P2) nxos_vxlan_vtep_vni errors out when trying to test remove idempotence,Create a YAML Ansible playbook to exhibit the following issue -`(P2) nxos_vxlan_vtep_vni errors out when trying to test remove idempotence,"```
---
- name: Test nxos_vxlan_vtep_vni module idempotence
  hosts: switches
  gather_facts: no
  
  vars:
    vni: 10001
    vrf: test-vrf
    vlan_id: 112
    vtep_ip: 10.0.0.1
    src_intf: loopback1
    dest_intf: nve1

  tasks:
    - name: Configure VNI on with vxlan_vtep_vni
      nxos_vxlan_vtep_vni:
        vni: ""{{ vni }}""
        vrf: ""{{ vrf }}""
        vlan_id: ""{{ vlan_id }}""
        vtep_ip: ""{{ vtep_ip }}""
        src_intf: ""{{ src_intf }}""
        dest_intf: ""{{ dest_intf }}""
        state: present
      register: result

    - name: Test first run
      assert:
        that:
          - result is success

    - name: Remove vni configuration
      nxos_vxlan_vtep_vni:
        vni: ""{{ vni }}""
        vrf: ""{{ vrf }}""
        vlan_id: ""{{ vlan_id }}""
        vtep_ip: ""{{ vtep_ip }}""
        src_intf: ""{{ src_intf }}""
        dest_intf: ""{{ dest_intf }}""
        state: absent

    - name: Test remove idempotence
      nxos_vxlan_vtep_vni:
        vni: ""{{ vni }}""
        vrf: ""{{ vrf }}""
        vlan_id: ""{{ vlan_id }}""
        vtep_ip: ""{{ vtep_ip }}""
        src_intf: ""{{ src_intf }}""
        dest_intf: ""{{ dest_intf }}""
        state: absent
      register: result

    - name: Test remove idempotence
      assert:
        that:
          - result is success
  
```",1,"
---
- name: Test nxos_vxlan_vtep_vni module idempotence
  hosts: switches
  gather_facts: no
  
  vars:
    vni: 10001
    vrf: test-vrf
    vlan_id: 112
    vtep_ip: 10.0.0.1
    src_intf: loopback1
    dest_intf: nve1

  tasks:
    - name: Configure VNI on with vxlan_vtep_vni
      nxos_vxlan_vtep_vni:
        vni: ""{{ vni }}""
        vrf: ""{{ vrf }}""
        vlan_id: ""{{ vlan_id }}""
        vtep_ip: ""{{ vtep_ip }}""
        src_intf: ""{{ src_intf }}""
        dest_intf: ""{{ dest_intf }}""
        state: present
      register: result

    - name: Test first run
      assert:
        that:
          - result is success

    - name: Remove vni configuration
      nxos_vxlan_vtep_vni:
        vni: ""{{ vni }}""
        vrf: ""{{ vrf }}""
        vlan_id: ""{{ vlan_id }}""
        vtep_ip: ""{{ vtep_ip }}""
        src_intf: ""{{ src_intf }}""
        dest_intf: ""{{ dest_intf }}""
        state: absent

    - name: Test remove idempotence
      nxos_vxlan_vtep_vni:
        vni: ""{{ vni }}""
        vrf: ""{{ vrf }}""
        vlan_id: ""{{ vlan_id }}""
        vtep_ip: ""{{ vtep_ip }}""
        src_intf: ""{{ src_intf }}""
        dest_intf: ""{{ dest_intf }}""
        state: absent
      register: result

    - name: Test remove idempotence
      assert:
        that:
          - result is success
  
"
9,27484,`(P2)nxos_igmp_interface: applying default values is not idempotent,Create a YAML Ansible playbook to exhibit the following issue -`(P2)nxos_igmp_interface: applying default values is not idempotent,"```
---
- hosts: network_device
  gather_facts: no

  tasks:
  - name: Configure IGMP Interface
    nxos_igmp_interface:
      interface: Ethernet1/1
      snooping_enable: yes
```
Note: This playbook is simply creating the issue and not actually configuring IGMP interface on any device.",1,"
---
- hosts: network_device
  gather_facts: no

  tasks:
  - name: Configure IGMP Interface
    nxos_igmp_interface:
      interface: Ethernet1/1
      snooping_enable: yes
"
